Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Calcium Crosspolymer,Emollient,1,0,Acne,Acne,A standard cosmetic emollient used in skincare formulations.
Propyl Panthenol,Chelating,1,0,Sensitive,Dry,A standard cosmetic chelating used in skincare formulations.
Iron Ceramide NP,Surfactant,1,1,Oily,None,A standard cosmetic surfactant used in skincare formulations.
Propyl Oat Protein,Soothing,0,0,Aging,None,A standard cosmetic soothing used in skincare formulations.
Butyrospermum Parkii Root Extract,Humectant,0,0,All,None,Natural plant-derived humectant from Butyrospermum Parkii.
Polysorbate 60 Retinol,Exfoliant,2,2,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Cetearyl Oat Protein,Solvent,2,1,Sensitive,Sensitive,A standard cosmetic solvent used in skincare formulations.
Aluminum Acetate,Surfactant,2,0,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Zinc Panthenol,Thickener,3,0,Sensitive,Sensitive,A standard cosmetic thickener used in skincare formulations.
PEG-40 Ascorbate,Surfactant,0,0,Oily,Oily,A standard cosmetic surfactant used in skincare formulations.
Myristyl Keratin,Exfoliant,2,3,Sensitive,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Ethyl Oxide,Emulsifier,1,1,Oily,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Lauryl Copolymer,Antioxidant,1,0,Acne,Acne,A standard cosmetic antioxidant used in skincare formulations.
Iron Benzoate,Chelating,2,0,Oily,None,A standard cosmetic chelating used in skincare formulations.
Helianthus Annuus Lysate,Humectant,0,0,Dry,None,Natural plant-derived humectant from Helianthus Annuus.
PEG-40 Silk,Astringent,0,0,Aging,Oily,A standard cosmetic astringent used in skincare formulations.
Cetearyl Keratin,Surfactant,2,4,Oily,Dry,A standard cosmetic surfactant used in skincare formulations.
Glycyrrhiza Glabra Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycyrrhiza Glabra.
Titanium Palmitate,Solvent,2,0,Dry,Oily,A standard cosmetic solvent used in skincare formulations.
Cetyl Salicylate,Preservative,2,1,All,Sensitive,A standard cosmetic preservative used in skincare formulations.
Myristyl Stearate,Buffering,0,0,Acne,Sensitive,A standard cosmetic buffering used in skincare formulations.
Potassium Hydroxide,Thickener,2,0,Oily,Dry,A standard cosmetic thickener used in skincare formulations.
Helianthus Annuus Juice,Emollient,0,0,Oily,None,Natural plant-derived emollient from Helianthus Annuus.
Cetearyl Dioxide,Solvent,0,0,Aging,Sensitive,A standard cosmetic solvent used in skincare formulations.
Butyl Hyaluronate,Thickener,1,0,Sensitive,None,A standard cosmetic thickener used in skincare formulations.
Rosa Damascena Wax,Emollient,0,0,Aging,None,Natural plant-derived emollient from Rosa Damascena.
Behenyl Sorbate,Astringent,1,1,Acne,None,A standard cosmetic astringent used in skincare formulations.
Sodium Keratin,Thickener,3,0,Sensitive,Oily,A standard cosmetic thickener used in skincare formulations.
Methyl Citrate,Astringent,2,1,Aging,Sensitive,A standard cosmetic astringent used in skincare formulations.
Myristoyl Palmitate,Humectant,1,0,Sensitive,None,A standard cosmetic humectant used in skincare formulations.
PEG-40 Salicylate,Exfoliant,0,0,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Persea Gratissima Oil,Emollient,3,0,Aging,None,Natural plant-derived emollient from Persea Gratissima.
PEG-20 Ascorbate,Chelating,2,0,All,Dry,A standard cosmetic chelating used in skincare formulations.
Lauryl Sulfate,Thickener,1,0,Acne,Acne,A standard cosmetic thickener used in skincare formulations.
Isobutyl Niacinamide,Surfactant,2,5,Dry,Oily,A standard cosmetic surfactant used in skincare formulations.
Glycine Soja Lysate,Humectant,0,0,All,None,Natural plant-derived humectant from Glycine Soja.
Avena Sativa Essential Oil,Soothing,1,1,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Avena Sativa.
Capric Lactate,Exfoliant,2,5,Oily,Dry,A standard cosmetic exfoliant used in skincare formulations.
Eucalyptus Globulus Flower Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Eucalyptus Globulus.
Polyglyceryl-3 Palmitate,Surfactant,1,5,Acne,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Iron Gluconate,Preservative,1,0,Sensitive,Oily,A standard cosmetic preservative used in skincare formulations.
Behenyl Carbonate,Exfoliant,0,1,Acne,Dry,A standard cosmetic exfoliant used in skincare formulations.
Methyl Peptide,Chelating,0,0,Sensitive,Acne,A standard cosmetic chelating used in skincare formulations.
Aloe Barbadensis Bark Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Aloe Barbadensis.
Polyglyceryl-3 Elastin,Thickener,0,0,Aging,Dry,A standard cosmetic thickener used in skincare formulations.
Camellia Sinensis Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Camellia Sinensis.
Stearyl Lactate,Solvent,0,1,Sensitive,None,A standard cosmetic solvent used in skincare formulations.
Sorbitan Stearate,Viscosity Controller,2,1,Acne,Acne,A standard cosmetic viscosity controller used in skincare formulations.
PPG-10 Laurate,Surfactant,2,2,All,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Melaleuca Alternifolia Juice,Emollient,0,0,Dry,None,Natural plant-derived emollient from Melaleuca Alternifolia.
Iron Panthenol,Solvent,0,0,Sensitive,Acne,A standard cosmetic solvent used in skincare formulations.
Zea Mays Lysate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Zea Mays.
Ethyl Lactate,Preservative,0,1,Dry,None,A standard cosmetic preservative used in skincare formulations.
Sorbitan Crosspolymer,Thickener,1,1,Sensitive,Acne,A standard cosmetic thickener used in skincare formulations.
Macadamia Ternifolia Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Macadamia Ternifolia.
Hydrogenated Oleate,Soothing,1,1,Acne,Oily,A standard cosmetic soothing used in skincare formulations.
PPG-10 Gluconate,Preservative,0,5,Sensitive,Dry,A standard cosmetic preservative used in skincare formulations.
Butyl Benzoate,Solvent,0,1,Acne,None,A standard cosmetic solvent used in skincare formulations.
Palmitoyl Stearate,Surfactant,0,4,Oily,Acne,A standard cosmetic surfactant used in skincare formulations.
PPG-15 Lactate,Surfactant,1,2,Oily,Acne,A standard cosmetic surfactant used in skincare formulations.
Isobutyl Ceramide AP,Emulsifier,0,1,Aging,Dry,A standard cosmetic emulsifier used in skincare formulations.
Ethyl Sorbate,Emollient,2,1,All,Dry,A standard cosmetic emollient used in skincare formulations.
Calendula Officinalis Callus Culture Extract,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Calendula Officinalis.
Potassium Crosspolymer,Thickener,1,1,All,Oily,A standard cosmetic thickener used in skincare formulations.
PEG-40 Hydroxide,Viscosity Controller,2,1,Aging,None,A standard cosmetic viscosity controller used in skincare formulations.
Zinc Niacinamide,Exfoliant,0,5,Aging,Oily,A standard cosmetic exfoliant used in skincare formulations.
Myristoyl Sulfate,Emollient,4,0,Dry,Oily,A standard cosmetic emollient used in skincare formulations.
Propyl Tocopherol,Exfoliant,1,1,Sensitive,None,A standard cosmetic exfoliant used in skincare formulations.
Lauroyl Silk,Astringent,2,1,Dry,None,A standard cosmetic astringent used in skincare formulations.
Copper Salicylate,Antioxidant,1,0,Aging,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Niacinamide,Preservative,2,5,Oily,Oily,A standard cosmetic preservative used in skincare formulations.
Cetyl Myristate,Humectant,0,0,Sensitive,Dry,A standard cosmetic humectant used in skincare formulations.
Citrus Aurantium Dulcis Leaf Extract,Humectant,0,0,All,None,Natural plant-derived humectant from Citrus Aurantium Dulcis.
Simmondsia Chinensis Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Simmondsia Chinensis.
Stearyl Hyaluronate,Humectant,2,1,Acne,Oily,A standard cosmetic humectant used in skincare formulations.
Oryza Sativa Fruit Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Oryza Sativa.
Calendula Officinalis Lysate,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Calendula Officinalis.
Isopropyl Oxide,Preservative,0,2,Aging,Dry,A standard cosmetic preservative used in skincare formulations.
Titanium Wheat Protein,Emollient,1,1,All,Acne,A standard cosmetic emollient used in skincare formulations.
Capric Ceramide AP,Chelating,0,1,Acne,Acne,A standard cosmetic chelating used in skincare formulations.
Isobutyl Panthenol,Chelating,1,0,Sensitive,Sensitive,A standard cosmetic chelating used in skincare formulations.
Sodium Wheat Protein,Astringent,2,0,Dry,None,A standard cosmetic astringent used in skincare formulations.
Helianthus Annuus Wax,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Helianthus Annuus.
Hydrogenated Citrate,Exfoliant,0,3,Dry,Oily,A standard cosmetic exfoliant used in skincare formulations.
Cocoyl Soy Protein,Emollient,3,1,All,Sensitive,A standard cosmetic emollient used in skincare formulations.
Methyl Hydroxide,Emulsifier,1,0,Oily,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Glycine Soja Leaf Extract,Humectant,0,0,All,None,Natural plant-derived humectant from Glycine Soja.
Isobutyl Ascorbate,Solvent,2,1,Aging,Oily,A standard cosmetic solvent used in skincare formulations.
Cetearyl Niacinamide,Viscosity Controller,1,1,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Potassium Collagen,Astringent,2,1,Sensitive,Oily,A standard cosmetic astringent used in skincare formulations.
Cetearyl Laurate,Emulsifier,1,0,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Zinc Oleate,Emollient,2,1,Dry,None,A standard cosmetic emollient used in skincare formulations.
Persea Gratissima Callus Culture Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Persea Gratissima.
Cocamidopropyl Retinol,Humectant,1,1,Sensitive,Acne,A standard cosmetic humectant used in skincare formulations.
Myristoyl Lactate,Buffering,2,1,Sensitive,Sensitive,A standard cosmetic buffering used in skincare formulations.
Acetylated Gluconate,Emollient,5,0,Aging,None,A standard cosmetic emollient used in skincare formulations.
Magnesium Benzoate,Emollient,4,1,Acne,Oily,A standard cosmetic emollient used in skincare formulations.
Polysorbate 20 Citrate,Soothing,0,0,All,Acne,A standard cosmetic soothing used in skincare formulations.
Myristyl Wheat Protein,Emollient,4,1,All,Acne,A standard cosmetic emollient used in skincare formulations.
Capric Hyaluronate,Exfoliant,2,2,Oily,Acne,A standard cosmetic exfoliant used in skincare formulations.
Stearyl Elastin,Humectant,2,1,All,Oily,A standard cosmetic humectant used in skincare formulations.
Lauryl Benzoate,Viscosity Controller,0,0,Dry,None,A standard cosmetic viscosity controller used in skincare formulations.
Polysorbate 20 Hydroxide,Thickener,2,1,Oily,None,A standard cosmetic thickener used in skincare formulations.
Lauroyl Oat Protein,Viscosity Controller,2,0,Sensitive,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Hydrolyzed Chloride,Viscosity Controller,0,0,Acne,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Lauryl Laurate,Antioxidant,2,0,Sensitive,Dry,A standard cosmetic antioxidant used in skincare formulations.
PPG-10 Sulfate,Viscosity Controller,2,1,Sensitive,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Calcium Linoleate,Emollient,4,0,All,Oily,A standard cosmetic emollient used in skincare formulations.
Myristyl Salicylate,Buffering,2,0,Sensitive,Sensitive,A standard cosmetic buffering used in skincare formulations.
PPG-15 Linoleate,Humectant,1,0,All,Acne,A standard cosmetic humectant used in skincare formulations.
PEG-8 Wheat Protein,Emulsifier,0,1,All,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Myristoyl Keratin,Antioxidant,2,0,Oily,Oily,A standard cosmetic antioxidant used in skincare formulations.
Myristoyl Oat Protein,Buffering,1,1,All,Oily,A standard cosmetic buffering used in skincare formulations.
Hydrogenated Soy Protein,Emulsifier,1,1,Aging,Oily,A standard cosmetic emulsifier used in skincare formulations.
Polysorbate 80 Acetate,Preservative,0,3,Sensitive,Oily,A standard cosmetic preservative used in skincare formulations.
Zinc Carbonate,Viscosity Controller,0,1,Sensitive,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Vitis Vinifera Oil,Emollient,4,0,Dry,None,Natural plant-derived emollient from Vitis Vinifera.
Myristyl Panthenol,Buffering,1,0,Acne,Acne,A standard cosmetic buffering used in skincare formulations.
Cocamidopropyl Dioxide,Chelating,2,0,Dry,Sensitive,A standard cosmetic chelating used in skincare formulations.
PEG-100 Citrate,Thickener,1,1,Dry,Sensitive,A standard cosmetic thickener used in skincare formulations.
Citrus Aurantium Dulcis Seed Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Citrus Aurantium Dulcis.
Zinc Oxide,Soothing,2,0,Dry,Oily,A standard cosmetic soothing used in skincare formulations.
Cocamidopropyl Ceramide NP,Antioxidant,1,1,Oily,None,A standard cosmetic antioxidant used in skincare formulations.
Sorbitan Benzoate,Astringent,2,1,Dry,Acne,A standard cosmetic astringent used in skincare formulations.
Cocoyl Peptide,Surfactant,0,5,Aging,Oily,A standard cosmetic surfactant used in skincare formulations.
Copper Copolymer,Astringent,0,1,Oily,Acne,A standard cosmetic astringent used in skincare formulations.
Methyl Tocopherol,Astringent,0,0,Dry,Dry,A standard cosmetic astringent used in skincare formulations.
Calcium Silk,Buffering,2,0,Dry,Dry,A standard cosmetic buffering used in skincare formulations.
Cocoyl Linoleate,Astringent,2,1,Sensitive,Acne,A standard cosmetic astringent used in skincare formulations.
Cetyl Oat Protein,Solvent,1,0,Dry,Oily,A standard cosmetic solvent used in skincare formulations.
Copper Benzoate,Astringent,1,0,Oily,Dry,A standard cosmetic astringent used in skincare formulations.
Glycyrrhiza Glabra Essential Oil,Antioxidant,1,1,Oily,Sensitive,Natural plant-derived antioxidant from Glycyrrhiza Glabra.
Glycyrrhiza Glabra Butter,Antioxidant,2,0,Dry,None,Natural plant-derived antioxidant from Glycyrrhiza Glabra.
Stearyl Copolymer,Antioxidant,2,0,Oily,Dry,A standard cosmetic antioxidant used in skincare formulations.
Butyl Silk,Viscosity Controller,1,0,All,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Polysorbate 20 Sulfate,Viscosity Controller,0,0,Acne,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Isopropyl Niacinamide,Buffering,0,0,Dry,Sensitive,A standard cosmetic buffering used in skincare formulations.
Cetyl Gluconate,Buffering,0,1,All,Dry,A standard cosmetic buffering used in skincare formulations.
Argania Spinosa Callus Culture Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Argania Spinosa.
Polysorbate 80 Crosspolymer,Thickener,3,1,Oily,Acne,A standard cosmetic thickener used in skincare formulations.
Calcium Panthenol,Humectant,1,0,Dry,Acne,A standard cosmetic humectant used in skincare formulations.
Caprylic Carbonate,Astringent,0,1,All,None,A standard cosmetic astringent used in skincare formulations.
Capric Copolymer,Humectant,1,0,Sensitive,Dry,A standard cosmetic humectant used in skincare formulations.
Hydrolyzed Wheat Protein,Chelating,2,0,Acne,Dry,A standard cosmetic chelating used in skincare formulations.
Rosmarinus Officinalis Water,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Rosmarinus Officinalis.
PPG-10 Lactate,Soothing,2,1,Oily,Acne,A standard cosmetic soothing used in skincare formulations.
Magnesium Gluconate,Buffering,0,0,Oily,Sensitive,A standard cosmetic buffering used in skincare formulations.
Polyglyceryl-3 Peptide,Chelating,1,0,All,Sensitive,A standard cosmetic chelating used in skincare formulations.
Hydrogenated Silk,Preservative,0,4,Acne,Acne,A standard cosmetic preservative used in skincare formulations.
Citrus Aurantium Dulcis Ferment Filtrate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Citrus Aurantium Dulcis.
PPG-15 Sorbate,Emulsifier,1,1,All,Dry,A standard cosmetic emulsifier used in skincare formulations.
Glyceryl Oxide,Viscosity Controller,0,0,Acne,Acne,A standard cosmetic viscosity controller used in skincare formulations.
PEG-100 Palmitate,Surfactant,2,4,Sensitive,None,A standard cosmetic surfactant used in skincare formulations.
Eucalyptus Globulus Fruit Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Eucalyptus Globulus.
Aloe Barbadensis Lysate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Aloe Barbadensis.
Zinc Elastin,Astringent,0,0,All,None,A standard cosmetic astringent used in skincare formulations.
Helianthus Annuus Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Helianthus Annuus.
Cocoyl Collagen,Surfactant,0,2,Oily,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Hydrolyzed Hyaluronate,Preservative,0,2,Dry,None,A standard cosmetic preservative used in skincare formulations.
Palmitoyl Benzoate,Buffering,0,1,Acne,Sensitive,A standard cosmetic buffering used in skincare formulations.
Citrus Aurantium Dulcis Essential Oil,Emollient,3,2,All,Sensitive,Natural plant-derived emollient from Citrus Aurantium Dulcis.
Isopropyl Tocopherol,Chelating,2,0,Dry,Dry,A standard cosmetic chelating used in skincare formulations.
Zinc Hydroxide,Astringent,1,1,All,Sensitive,A standard cosmetic astringent used in skincare formulations.
Oryza Sativa Water,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Oryza Sativa.
Zinc Peptide,Antioxidant,0,1,Oily,Acne,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Crosspolymer,Antioxidant,1,1,Dry,Dry,A standard cosmetic antioxidant used in skincare formulations.
PEG-8 Sorbate,Surfactant,1,0,Sensitive,Dry,A standard cosmetic surfactant used in skincare formulations.
Macadamia Ternifolia Ferment Filtrate,Emollient,0,0,Aging,None,Natural plant-derived emollient from Macadamia Ternifolia.
Iron Hydroxide,Preservative,2,1,Acne,Acne,A standard cosmetic preservative used in skincare formulations.
Cocoyl Acetate,Astringent,2,0,Aging,Acne,A standard cosmetic astringent used in skincare formulations.
Polysorbate 20 Soy Protein,Emulsifier,1,0,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Rubus Idaeus Flower Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Rubus Idaeus.
Ethyl Salicylate,Buffering,0,0,Oily,Oily,A standard cosmetic buffering used in skincare formulations.
Cocoyl Lactate,Humectant,2,1,Dry,Acne,A standard cosmetic humectant used in skincare formulations.
PEG-8 Acetate,Preservative,0,1,Oily,Sensitive,A standard cosmetic preservative used in skincare formulations.
Sorbitan Copolymer,Preservative,2,4,Oily,Acne,A standard cosmetic preservative used in skincare formulations.
Copper Keratin,Exfoliant,1,1,Acne,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
PPG-15 Oxide,Astringent,0,1,Aging,Oily,A standard cosmetic astringent used in skincare formulations.
Propyl Benzoate,Solvent,2,0,Sensitive,Oily,A standard cosmetic solvent used in skincare formulations.
Propyl Ceramide EOP,Surfactant,2,4,Aging,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Propyl Niacinamide,Soothing,2,0,Sensitive,Acne,A standard cosmetic soothing used in skincare formulations.
Camellia Sinensis Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Camellia Sinensis.
Citrus Aurantium Dulcis Juice,Emollient,0,0,Acne,None,Natural plant-derived emollient from Citrus Aurantium Dulcis.
Cocoyl Oxide,Antioxidant,1,0,Oily,Oily,A standard cosmetic antioxidant used in skincare formulations.
Caprylic Tocopherol,Preservative,0,3,Sensitive,Oily,A standard cosmetic preservative used in skincare formulations.
Citrus Limon Wax,Emollient,0,0,Acne,None,Natural plant-derived emollient from Citrus Limon.
Polysorbate 20 Oleate,Viscosity Controller,0,0,Acne,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Citrus Aurantium Dulcis Oil,Emollient,2,0,Sensitive,None,Natural plant-derived emollient from Citrus Aurantium Dulcis.
Polysorbate 20 Niacinamide,Antioxidant,0,1,Acne,Acne,A standard cosmetic antioxidant used in skincare formulations.
PEG-8 Oxide,Surfactant,2,1,Oily,Sensitive,A standard cosmetic surfactant used in skincare formulations.
PEG-8 Carbonate,Exfoliant,2,5,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Butyl Panthenol,Thickener,2,1,Aging,Sensitive,A standard cosmetic thickener used in skincare formulations.
Eucalyptus Globulus Ferment Filtrate,Humectant,0,0,Dry,None,Natural plant-derived humectant from Eucalyptus Globulus.
Hydrolyzed Dioxide,Exfoliant,0,0,Acne,Dry,A standard cosmetic exfoliant used in skincare formulations.
Titanium Sorbate,Viscosity Controller,1,0,Dry,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Persea Gratissima Essential Oil,Soothing,4,1,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Persea Gratissima.
Centella Asiatica Leaf Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Centella Asiatica.
Oryza Sativa Leaf Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Oryza Sativa.
Avena Sativa Juice,Emollient,0,0,Dry,None,Natural plant-derived emollient from Avena Sativa.
Glyceryl Crosspolymer,Antioxidant,1,1,Dry,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Copper Panthenol,Antioxidant,2,1,Sensitive,Oily,A standard cosmetic antioxidant used in skincare formulations.
Myristyl Phosphate,Antioxidant,2,1,Dry,Dry,A standard cosmetic antioxidant used in skincare formulations.
Calcium Copolymer,Viscosity Controller,0,1,Aging,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Oryza Sativa Callus Culture Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Oryza Sativa.
Glycyrrhiza Glabra Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Glycyrrhiza Glabra.
Titanium Oat Protein,Exfoliant,1,4,Dry,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Prunus Amygdalus Dulcis Juice,Emollient,0,0,Dry,None,Natural plant-derived emollient from Prunus Amygdalus Dulcis.
Aluminum Elastin,Emulsifier,0,0,Aging,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Ethyl Chloride,Emulsifier,2,1,Oily,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Centella Asiatica Water,Humectant,0,0,Acne,None,Natural plant-derived humectant from Centella Asiatica.
Propyl Sorbate,Antioxidant,0,0,Sensitive,Oily,A standard cosmetic antioxidant used in skincare formulations.
Eucalyptus Globulus Callus Culture Extract,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Eucalyptus Globulus.
PPG-15 Retinol,Preservative,2,3,Sensitive,None,A standard cosmetic preservative used in skincare formulations.
Calcium Palmitate,Soothing,0,1,Oily,Oily,A standard cosmetic soothing used in skincare formulations.
Persea Gratissima Lysate,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Persea Gratissima.
Palmitoyl Linoleate,Emollient,5,1,All,Sensitive,A standard cosmetic emollient used in skincare formulations.
Myristyl Ceramide EOP,Buffering,1,0,Oily,Oily,A standard cosmetic buffering used in skincare formulations.
PPG-15 Salicylate,Chelating,1,1,Oily,Oily,A standard cosmetic chelating used in skincare formulations.
Myristoyl Oleate,Surfactant,0,0,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Panax Ginseng Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Panax Ginseng.
Isopropyl Dioxide,Viscosity Controller,1,1,All,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Capric Salicylate,Chelating,2,0,All,None,A standard cosmetic chelating used in skincare formulations.
PEG-100 Wheat Protein,Surfactant,1,4,All,Acne,A standard cosmetic surfactant used in skincare formulations.
Olea Europaea Leaf Extract,Humectant,0,0,Sensitive,None,Natural plant-derived humectant from Olea Europaea.
Titanium Dioxide,Humectant,1,0,Sensitive,Dry,A standard cosmetic humectant used in skincare formulations.
Sorbitan Linoleate,Buffering,2,1,Aging,Sensitive,A standard cosmetic buffering used in skincare formulations.
Ginkgo Biloba Essential Oil,Emollient,1,1,Sensitive,Sensitive,Natural plant-derived emollient from Ginkgo Biloba.
Capric Palmitate,Chelating,0,0,Dry,Oily,A standard cosmetic chelating used in skincare formulations.
Prunus Amygdalus Dulcis Butter,Emollient,3,0,All,None,Natural plant-derived emollient from Prunus Amygdalus Dulcis.
Potassium Acetate,Preservative,1,5,Sensitive,Dry,A standard cosmetic preservative used in skincare formulations.
Propyl Collagen,Surfactant,0,4,Aging,Dry,A standard cosmetic surfactant used in skincare formulations.
Lauroyl Sulfate,Preservative,0,4,Oily,Acne,A standard cosmetic preservative used in skincare formulations.
Olea Europaea Callus Culture Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Olea Europaea.
Punica Granatum Leaf Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Punica Granatum.
Hydrolyzed Keratin,Preservative,1,3,Aging,Dry,A standard cosmetic preservative used in skincare formulations.
Methyl Ceramide EOP,Astringent,2,1,Sensitive,Acne,A standard cosmetic astringent used in skincare formulations.
Eucalyptus Globulus Wax,Humectant,0,0,Aging,None,Natural plant-derived humectant from Eucalyptus Globulus.
Stearyl Tocopherol,Surfactant,2,1,Sensitive,Oily,A standard cosmetic surfactant used in skincare formulations.
Helianthus Annuus Butter,Emollient,3,0,All,None,Natural plant-derived emollient from Helianthus Annuus.
Isobutyl Copolymer,Solvent,1,1,Sensitive,Acne,A standard cosmetic solvent used in skincare formulations.
Polysorbate 20 Palmitate,Astringent,2,0,Sensitive,Acne,A standard cosmetic astringent used in skincare formulations.
Iron Tocopherol,Viscosity Controller,1,1,Aging,None,A standard cosmetic viscosity controller used in skincare formulations.
Hydrolyzed Palmitate,Emulsifier,1,1,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Morus Alba Water,Humectant,0,0,Acne,None,Natural plant-derived humectant from Morus Alba.
Vitis Vinifera Seed Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Vitis Vinifera.
Cetyl Soy Protein,Exfoliant,2,2,Sensitive,Oily,A standard cosmetic exfoliant used in skincare formulations.
Lauryl Palmitate,Chelating,2,0,Acne,None,A standard cosmetic chelating used in skincare formulations.
Capric Hydroxide,Humectant,0,1,Sensitive,Dry,A standard cosmetic humectant used in skincare formulations.
Aloe Barbadensis Juice,Emollient,0,0,Sensitive,None,Natural plant-derived emollient from Aloe Barbadensis.
PEG-100 Oxide,Soothing,0,1,All,Oily,A standard cosmetic soothing used in skincare formulations.
Rosmarinus Officinalis Fruit Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Rosmarinus Officinalis.
Rosa Damascena Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Rosa Damascena.
Simmondsia Chinensis Seed Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Simmondsia Chinensis.
Hydrogenated Ceramide NP,Astringent,0,0,All,None,A standard cosmetic astringent used in skincare formulations.
PEG-40 Oxide,Antioxidant,1,1,Aging,Acne,A standard cosmetic antioxidant used in skincare formulations.
Calcium Chloride,Preservative,1,5,Dry,Dry,A standard cosmetic preservative used in skincare formulations.
Hydrolyzed Carbonate,Buffering,2,1,Acne,Sensitive,A standard cosmetic buffering used in skincare formulations.
Stearyl Keratin,Surfactant,1,0,Sensitive,Acne,A standard cosmetic surfactant used in skincare formulations.
Potassium Dioxide,Surfactant,0,1,All,Dry,A standard cosmetic surfactant used in skincare formulations.
PEG-100 Ceramide EOP,Emollient,3,0,Aging,Sensitive,A standard cosmetic emollient used in skincare formulations.
PPG-15 Citrate,Solvent,2,0,Dry,Sensitive,A standard cosmetic solvent used in skincare formulations.
